-0.29	1.76	1.55
-0.329	1.831	1.492
-0.298	1.787	1.646
-0.194	1.747	1.527
-0.36	1.64	1.53
-0.35	1.6	1.38
-0.21	1.57	1.33
-0.46	1.49	1.34
-0.3	1.53	1.62
-0.37	1.47	1.7
-0.17	1.51	1.6
-0.124	1.567	1.532
-0.09	1.41	1.67
0.06	1.42	1.65
0.11	1.43	1.51
0.04	1.55	1.44
0.26	1.44	1.5
-0.1	1.39	1.83
-0.09	1.49	1.9
-0.11	1.26	1.86
-0.117	1.191	1.788
-0.11	1.22	2
-0.11	1.08	2.05
0.02	1.01	2.03
0.013	0.917	2.066
-0.01	1.26	2.12
0.11	1.28	2.09
-0.07	1.26	2.24
-0.167	1.238	2.245
0	1.29	2.36
-0.03	1.28	2.51
0	1.4	2.6
0.03	1.54	2.52
-0.06	1.55	2.43
0.12	1.6	2.54
0.13	1.21	2.35
0.24	1.26	2.36
0.11	1.08	2.34
0.016	1.047	2.339
0.22	0.98	2.33
0.32	1.02	2.22
0.44	1.03	2.25
0.27	1.04	2.1
0.171	1.034	2.089
0.35	1.07	1.98
0.26	1.07	1.86
0.2	0.94	1.81
0.09	0.95	1.7
0.07	1.06	1.67
0.04	0.85	1.66
0.44	1.19	1.99
0.55	1.19	1.94
0.38	1.3	2.06
0.287	1.291	2.095
0.45	1.42	2.08
0.37	1.54	2.13
0.28	1.61	2.02
0.15	1.62	2.01
0.086	1.584	2.077
0.33	1.68	1.91
0.11	1.69	1.89
0.016	1.705	1.859
0.22	1.73	1.83
0.46	1.71	1.86
0.542	1.673	1.904
0.23	1.81	1.72
0.15	1.845	1.672
0.47	1.79	1.75
0.561	1.814	1.718
0.36	1.84	1.68
0.375	1.898	1.6
0.57	1.37	2.17
0.69	1.4	2.14
0.54	1.29	2.27
0.443	1.27	2.283
0.63	1.23	2.36
0.63	1.22	2.51
0.76	1.22	2.57
0.77	1.22	2.72
0.88	1.19	2.78
0.66	1.25	2.78
0.578	1.271	2.727
0.657	1.253	2.88
0.76	1.19	2.29
0.87	1.23	2.32
0.74	1.1	2.19
0.645	1.074	2.171
0.84	1.04	2.11
0.79	0.96	1.99
0.79	0.81	1.99
0.82	0.77	2.14
0.66	0.76	1.95
0.91	1.14	2.03
1.04	1.15	2.02
0.83	1.22	1.96
0.731	1.206	1.968
0.88	1.33	1.87
0.81	1.42	1.77
0.89	1.54	1.73
0.76	1.34	1.65
0.98	1.42	1.95
1.09	1.45	1.9
0.94	1.45	2.07
0.854	1.412	2.103
1.02	1.54	2.16
0.95	1.63	2.25
0.87	1.74	2.19
0.77	1.8	2.29
0.96	1.85	2.14
